pop,A,year,S_obs,n_age3_obs,n_age4_obs,n_age5_obs,n_H_obs,n_W_obs,fit_p_HOS,B_take_obs,F_rate,watershed,SST_spr_mean,upwell_spr,hatch_release,Spartina_acre,OGSI_mean,OGSI_mean_sbuff50,OGSI_mean_sbuff100,OGSI_mean_sbuff250
1,1.2,1995,2774,18,36,10,0,0,FALSE,0,0.076418819,Ellsworth,11.81889804204305,0.06966666666666668,37700,3844.96833,17.58404507445334,22.787675411836485,21.29220476116384,18.883991490493287
1,1.2,1996,2349,6,56,2,0,0,FALSE,0,0.093103296,Ellsworth,12.578506151835125,0.09644444444444444,0,4306.36453,17.723841504365346,23.146870229007632,21.51199003425724,19.039390511677425
1,1.2,1997,4196,28,34,2,0,0,FALSE,0,0.005852745,Ellsworth,12.72436793645223,0.25222222222222224,0,4823.128274,17.573962906549593,23.229128580134063,21.604169908199783,18.832456899420887
1,1.2,1998,8013,9,50,5,0,0,FALSE,0,0.134686804,Ellsworth,10.887162367502848,0.321,152500,5401.903666,17.34771676170805,22.936813186813183,21.30748871243967,18.533622414943295
1,1.2,1999,3003,32,19,13,0,0,FALSE,0,0.053074629,Ellsworth,11.777251243591309,0.22533333333333333,0,6050.132106,17.498386807671626,23.199024687595244,21.59251203977008,18.749101318066835
1,1.2,2000,4452,16,47,1,0,0,FALSE,0,0.142318748,Ellsworth,11.144559780756632,0.2701111111111111,0,6776.147959,17.635581447456868,23.52222898903776,21.74022952853598,18.87507479555881
1,1.2,2001,7988,23,38,3,0,0,FALSE,0,0.440409284,Ellsworth,10.872010946273804,0.2856666666666667,273800,7589.285714,17.841528833258828,23.55325623858795,21.80762672453883,19.090069744271005
1,1.2,2002,9508,31,28,5,0,0,FALSE,0,0.348126381,Ellsworth,12.170888980229696,0.21666666666666667,280000,8500,18.189892051030423,23.81132075471698,22.07263435031749,19.446683014116243
1,1.2,2003,18032,5,57,2,0,0,FALSE,0,0.436249764,Ellsworth,12.700746695200602,0.22144444444444444,615000,7400,18.29199127454035,23.945559610705597,22.187403280718044,19.56155321823113
1,1.2,2004,6610,8,48,8,0,0,FALSE,0,0.259981527,Ellsworth,12.547542174657186,0.1237777777777778,18700,6300,18.52118191527234,24.174878345498783,22.412320074291905,19.839219576719575
1,1.2,2005,1229,11,38,15,0,0,FALSE,0,0.574043794,Ellsworth,11.608026345570885,0.418,537150,3250,18.716071349139273,24.28771289537713,22.567007118539152,19.972163448823064
1,1.2,2006,1160,8,53,3,0,0,FALSE,0,0.350815206,Ellsworth,11.321085770924888,0.1622222222222222,185280,2310,18.851285244151917,24.49330900243309,22.711544413494273,20.081366911230088
1,1.2,2007,1715,9,49,6,0,0,FALSE,0,0.015621463,Ellsworth,10.221741517384848,0.32222222222222224,526900,250,19.04895726799769,24.66119221411192,22.892293407613742,20.300237969328396
1,1.2,2008,2877,21,115,9,0,0,FALSE,0,0.267934113,Ellsworth,10.98063826560974,0.2563333333333333,78050,85,19.47440971141447,25.15875912408759,23.43856391210152,20.78437334743522
1,1.2,2009,1680,38,22,4,0,0,FALSE,0,0.269490942,Ellsworth,11.654947996139526,0.102,385872,18,19.88225354617813,25.504866180048666,23.82544103992572,21.165058170280275
1,1.2,2010,6363,56,170,5,0,0,FALSE,0,0.056065316,Ellsworth,11.322720050811768,0.13166666666666663,593814,2.5,20.559567750255702,25.873479318734795,24.30145465800062,21.855745074705805
1,1.2,2011,12201,3,180,4,0,0,FALSE,0,0.041990201,Ellsworth,11.342132806777954,0.04644444444444444,600200,1.6,20.943918167667334,26.114963503649633,24.637418755803157,22.24457958751983
1,1.2,2012,3486,26,66,42,0,0,FALSE,0,0.381457661,Ellsworth,11.63262708981832,0.1468888888888889,912572,1.02,21.346617444291244,26.506386861313867,25.037294955122253,22.66408832473886
1,1.2,2013,2377,54,85,20,0,0,FALSE,0,0.096338905,Ellsworth,12.14900255203247,0.19644444444444445,769959,0.9,21.547137073452863,26.630778588807782,25.25348189415042,22.870289567631893
1,1.2,2014,5434,76,169,12,0,0,FALSE,0,0.124512848,Ellsworth,12.71275313695272,0.405,1006576,1.1,21.89651643902656,26.878649635036496,25.537294955122253,23.188735373834863
1,1.2,2015,10482,57,220,12,0,0,FALSE,0,0.067981329,Ellsworth,13.096447706222534,0.28522222222222227,1704376,0.4,22.10919770391136,27.13594890510949,25.795264623955433,23.509984131182225
1,1.2,2016,15404,9,119,19,0,0,FALSE,0,0.06631364,Ellsworth,12.117044766743978,0.09422222222222222,1521504,0.31,22.603497374744148,27.47566909975669,26.17951098731043,23.970249900833004
1,1.2,2017,3213,36,95,37,0,0,FALSE,0,0.022670697,Ellsworth,12.320975065231323,0.15333333333333332,2434710,0.6243,22.964134739465138,27.651459854014597,26.385174868461775,24.275882586275287
1,1.2,2018,6096,52,20,2,0,0,FALSE,0,0.061880404,Ellsworth,11.914112567901611,0.31766666666666665,2335307,0.6983,23.39483870967742,27.993004866180048,26.705354379449087,24.672992990345193
1,1.2,2019,5715,151,304,8,0,0,FALSE,0,0.007944592,Ellsworth,12.042041381200155,0.18888888888888888,2629955,0.1926,23.937764135415275,28.345194647201943,27.12519343856391,25.1526712509918
1,1.2,2020,7950,199,181,6,0,0,FALSE,0,0.065456859,Ellsworth,11.503767808278402,0.274,2503780,0.1392,24.599056813631712,28.920924574209245,27.744970597338284,25.78656440095213
